t cv_0(t) h(t)
1.200000000000000000e+06 2.359143301841085949e-01 4.010334188288846441e-02
1.201000000000000000e+06 6.598201060846446975e-01 3.050961134648003115e-02
1.202000000000000000e+06 7.557481221200805788e-01 2.804304326011516912e-02
1.203000000000000000e+06 5.536218296964006136e-01 3.331079679533701515e-02
1.204000000000000000e+06 5.600760528705279739e-01 3.282020589772795954e-02
1.205000000000000000e+06 9.407321337002809702e-01 2.623827617163712600e-02
1.206000000000000000e+06 7.558698637724527991e-01 2.779949495815489668e-02
1.207000000000000000e+06 4.197777817908278641e-01 3.695096901941544859e-02
1.208000000000000000e+06 3.579608543524095410e-01 3.798807479723784186e-02
1.209000000000000000e+06 6.026618605677727114e-01 3.127136589840978642e-02
1.210000000000000000e+06 4.833293357122683820e-01 3.459794061300704160e-02
1.211000000000000000e+06 5.533926705191473117e-01 3.221714637395752673e-02
1.212000000000000000e+06 1.064746760869824671e+00 2.612832531103495559e-02
1.213000000000000000e+06 5.478813515043057247e-01 3.210173970946793298e-02
1.214000000000000000e+06 -6.469830230821003170e-01 3.025796090614895836e-02
1.215000000000000000e+06 -6.076472631397571433e-01 3.135318367319892691e-02
1.216000000000000000e+06 -9.457586437228699960e-01 2.584879351852935325e-02
1.217000000000000000e+06 -1.048292526053828055e+00 2.569263117912569394e-02
1.218000000000000000e+06 -9.447152577643439519e-01 2.560544049126967092e-02
1.219000000000000000e+06 -1.009897983585755998e+00 2.526070065446230084e-02
1.220000000000000000e+06 -3.926457074590453677e-01 3.732206805095047292e-02
1.221000000000000000e+06 -4.933943383722148024e-01 3.438854134313131666e-02
1.222000000000000000e+06 -1.158954649924659686e+00 2.689348128322084641e-02
1.223000000000000000e+06 -1.356208755333982996e+00 3.491571724082802308e-02
1.224000000000000000e+06 -1.286121270583402865e+00 3.128778112493216246e-02
1.225000000000000000e+06 -1.035477041214250882e+00 2.514940133060115934e-02
1.226000000000000000e+06 -9.141021472280741467e-01 2.559247374880984846e-02
1.227000000000000000e+06 -1.257763527034470030e+00 2.980241605834688806e-02
1.228000000000000000e+06 -5.722294498724017631e-01 3.212914865096624245e-02
1.229000000000000000e+06 -1.429453409066646641e-01 4.061471388382004860e-02
1.230000000000000000e+06 2.654414986660985631e-01 3.907942536337610101e-02
1.231000000000000000e+06 4.531779184797486704e-02 4.216718807374873756e-02
1.232000000000000000e+06 -5.317894156910591974e-01 3.298909379792064334e-02
1.233000000000000000e+06 -1.289190033104600230e+00 3.094190588717057530e-02
1.234000000000000000e+06 -1.207194796425402394e+00 2.759080478758855343e-02
1.235000000000000000e+06 -1.258935899627656063e+00 2.922183872623185935e-02
1.236000000000000000e+06 -1.201455334130015151e+00 2.706699234101617862e-02
1.237000000000000000e+06 -9.806103880697888409e-01 2.482476191257401710e-02
1.238000000000000000e+06 7.809696074065641813e-02 4.140795030505767249e-02
1.239000000000000000e+06 4.052903287457273462e-01 3.623134700582166662e-02
1.240000000000000000e+06 3.923947227187959963e-01 3.620792223683456240e-02
1.241000000000000000e+06 -3.082232430428882841e-01 3.960918205698920475e-02
1.242000000000000000e+06 -2.607444464545846663e-02 4.137982540970956691e-02
1.243000000000000000e+06 9.151422559721721084e-02 4.065418011243141644e-02
1.244000000000000000e+06 -4.180305129680843002e-01 3.563684879882116768e-02
1.245000000000000000e+06 -1.202775596800305102e+00 2.690558877867350179e-02
1.246000000000000000e+06 -8.217229974078598120e-01 2.683984598604826147e-02
1.247000000000000000e+06 -7.667098428632042051e-01 2.749561663777576673e-02
1.248000000000000000e+06 -1.277609249581895590e+00 2.953365540417809965e-02
1.249000000000000000e+06 -1.083979542799601292e+00 2.505552227198479254e-02
1.250000000000000000e+06 -5.666552022021705826e-01 3.170806746487466604e-02
1.251000000000000000e+06 -2.953710032766752036e-01 3.933528677705303012e-02
1.252000000000000000e+06 -4.104021696004368502e-01 3.537637087370907457e-02
1.253000000000000000e+06 -8.350268372774789505e-01 2.629910284155216604e-02
1.254000000000000000e+06 2.625934261695772043e-01 3.846675119664875325e-02
1.255000000000000000e+06 -5.939917306092634686e-01 3.066414793216728010e-02
1.256000000000000000e+06 -2.584708363255219798e-01 3.934328361993896794e-02
1.257000000000000000e+06 -5.408614721903720612e-01 3.182382335199628737e-02
1.258000000000000000e+06 -1.214287678954494520e+00 2.683780892026299200e-02
1.259000000000000000e+06 -6.185674291079464870e-01 2.959924829759440212e-02
1.260000000000000000e+06 -3.669899844717521842e-01 3.636562885235088832e-02
1.261000000000000000e+06 -1.794959316809803807e-01 3.935748801079162751e-02
1.262000000000000000e+06 7.951064209635485547e-01 2.708599577733287328e-02
1.263000000000000000e+06 8.784355310425896457e-01 2.630980337034776254e-02
1.264000000000000000e+06 4.879162744822361786e-01 3.336865109672820795e-02
1.265000000000000000e+06 9.465269918389298542e-01 2.581481372102105779e-02
1.266000000000000000e+06 7.451014317994680836e-01 2.749405433835525742e-02
1.267000000000000000e+06 7.603372173625667640e-01 2.703050675411911019e-02
1.268000000000000000e+06 1.091886010123481965e+00 2.601042013025333874e-02
1.269000000000000000e+06 9.883789456348375246e-01 2.560002675912044848e-02
1.270000000000000000e+06 4.934362246718806966e-01 3.292283308485099286e-02
1.271000000000000000e+06 9.018472754957189697e-01 2.565003932106864337e-02
1.272000000000000000e+06 3.949926532523750367e-01 3.540626621884950670e-02
1.273000000000000000e+06 1.020572850043778512e+00 2.542729835197796162e-02
1.274000000000000000e+06 8.029348245293561614e-01 2.626262366297130169e-02
1.275000000000000000e+06 9.154557168409472867e-01 2.525697491430412001e-02
1.276000000000000000e+06 1.168754720803042879e+00 2.709847840007271330e-02
1.277000000000000000e+06 7.761225539163012499e-01 2.634811572274969524e-02
1.278000000000000000e+06 4.688756258935534299e-02 4.058528715264347886e-02
1.279000000000000000e+06 1.233989362070230938e-01 3.960443080669139720e-02
1.280000000000000000e+06 6.664528604455587368e-01 2.880369376958625410e-02
1.281000000000000000e+06 1.277839649344235218e+00 3.081537294904433677e-02
1.282000000000000000e+06 1.269370422571606483e+00 3.023326972300947185e-02
1.283000000000000000e+06 1.151421990595757006e+00 2.631443671681748045e-02
1.284000000000000000e+06 8.926665855805787642e-01 2.517562266593930190e-02
1.285000000000000000e+06 9.759700506181829827e-01 2.488838532335654538e-02
1.286000000000000000e+06 6.767470872226916123e-01 2.832061943213825747e-02
1.287000000000000000e+06 3.685658784369819085e-01 3.574873200502671350e-02
1.288000000000000000e+06 1.042774636447512560e+00 2.501062094948646244e-02
1.289000000000000000e+06 1.130264473459534402e+00 2.562230170439938615e-02
1.290000000000000000e+06 1.293093696693234929e+00 3.089628905512533177e-02
1.291000000000000000e+06 1.451910996680827237e+00 4.815041561799777298e-02
1.292000000000000000e+06 1.238519540241303396e+00 2.848560189122955125e-02
1.293000000000000000e+06 1.057889588781436796e+00 2.478615958811026393e-02
1.294000000000000000e+06 8.170093563355926847e-01 2.551443920944683821e-02
1.295000000000000000e+06 6.440891080482622488e-01 2.889558083345866377e-02
1.296000000000000000e+06 3.410005337365359934e-01 3.607248047074724379e-02
1.297000000000000000e+06 -1.259487799911464534e-01 3.953935286461122967e-02
1.298000000000000000e+06 -9.877487659286945942e-02 3.949197648823065537e-02
1.299000000000000000e+06 -2.738027776625099885e-01 3.828276220246273898e-02
1.300000000000000000e+06 3.799227187166281938e-01 3.483967555614658762e-02
1.301000000000000000e+06 2.002011555141817167e-01 3.856425802409103876e-02
1.302000000000000000e+06 5.562855799390354905e-01 3.070378177618869608e-02
1.303000000000000000e+06 7.100922629703730893e-01 2.699148470171914421e-02
1.304000000000000000e+06 4.866686988273229431e-01 3.212888910666624603e-02
1.305000000000000000e+06 1.072421708177756505e+00 2.467763584177530903e-02
1.306000000000000000e+06 9.831723544922338354e-01 2.438781393580701298e-02
1.307000000000000000e+06 6.304715748807441233e-01 2.866829673806586820e-02
1.308000000000000000e+06 1.152235154316124000e+00 2.554281014443983422e-02
1.309000000000000000e+06 1.307717325231155137e+00 3.108174345168183972e-02
1.310000000000000000e+06 1.283662540048910117e+00 2.970000072760051874e-02
1.311000000000000000e+06 1.347414725825478499e+00 3.314947295456011078e-02
