t cv_0(t) h(t)
7.300001000000000000e+06 7.422859966754913330e-02 3.837514817695532598e-01
7.350001000000000000e+06 8.872220665216445923e-02 4.423235526771336912e-01
7.400001000000000000e+06 8.225603401660917802e-02 4.029334227722408679e-01
7.450001000000000000e+06 5.193496868014336326e-02 3.148522509558882576e-01
7.500001000000000000e+06 4.700040072202681801e-02 3.119722416353328254e-01
7.550001000000000000e+06 3.108303621411323547e-02 3.139793231970389731e-01
7.600001000000000000e+06 3.815470635890960693e-02 3.071487023484702483e-01
7.650001000000000000e+06 2.563756145536899567e-02 3.122565466488299579e-01
7.700001000000000000e+06 4.590108990669249794e-02 3.014100634848583815e-01
7.750001000000000000e+06 7.300756126642227173e-02 3.616719727557120567e-01
7.800001000000000000e+06 4.173612967133520646e-02 2.960856680306770961e-01
7.850001000000000000e+06 3.843126818537712097e-02 2.920493934210743880e-01
7.900001000000000000e+06 3.113004751503467560e-02 2.929484443504738467e-01
7.950001000000000000e+06 1.618899218738079071e-02 3.787099159197288012e-01
8.000001000000000000e+06 3.201769292354583740e-02 2.859162635288480248e-01
8.050001000000000000e+06 1.146537251770496368e-02 4.651820533656401691e-01
8.100001000000000000e+06 7.681420072913171596e-03 5.582694402987600224e-01
8.150001000000000000e+06 1.261511817574501038e-02 4.163344311375800078e-01
8.200001000000000000e+06 1.330168265849351883e-02 3.937525217153935997e-01
8.250001000000000000e+06 4.732824116945266724e-02 2.872122853525987951e-01
8.300001000000000000e+06 4.849009215831756592e-02 2.841928973999487407e-01
8.350001000000000000e+06 5.560281872749328613e-02 2.903076448211133753e-01
8.400001000000000000e+06 5.069820210337638855e-02 2.788270794958661036e-01
8.450001000000000000e+06 6.849174201488494873e-02 3.312046027446232110e-01
8.500001000000000000e+06 6.961379945278167725e-02 3.309495999154731249e-01
8.550001000000000000e+06 7.416877895593643188e-02 3.470160568536698742e-01
8.600001000000000000e+06 8.205837756395341354e-02 3.776173110927155130e-01
8.650001000000000000e+06 1.014793664216995239e-01 5.212721009674362582e-01
8.700001000000000000e+06 1.040271744132041931e-01 5.286529283031838888e-01
8.750001000000000000e+06 1.065377667546272000e-01 5.360432880317183013e-01
8.800001000000000000e+06 8.814147114753723145e-02 3.969755756253792733e-01
8.850001000000000000e+06 7.686836272478102250e-02 3.423606380427056672e-01
8.900001000000000000e+06 7.429308444261552291e-02 3.274923497051389631e-01
8.950001000000000000e+06 5.597791448235511780e-02 2.761846782827683811e-01
9.000001000000000000e+06 5.789623036980628967e-02 2.745395803489742992e-01
9.050001000000000000e+06 5.743144825100898743e-02 2.699797995322696931e-01
9.100001000000000000e+06 8.782183378934860229e-02 3.804494334655064702e-01
9.150001000000000000e+06 8.820934593677517976e-02 3.752356785485417845e-01
9.200001000000000000e+06 6.044416502118111351e-02 2.710335161652252522e-01
9.250001000000000000e+06 9.120240062475203080e-02 3.873607350858744858e-01
9.300001000000000000e+06 6.737798452377319336e-02 2.872034316475597371e-01
9.350001000000000000e+06 4.462673887610435486e-02 2.633719214140146092e-01
9.400001000000000000e+06 4.604683443903923035e-02 2.587352957954086596e-01
9.450001000000000000e+06 3.697523847222328186e-02 2.650530887648627210e-01
9.500001000000000000e+06 2.791854552924632679e-02 2.736314850578537849e-01
9.550001000000000000e+06 3.525423631072044373e-02 2.608410759329720663e-01
9.600001000000000000e+06 6.379944831132888794e-02 2.701362508535458118e-01
9.650001000000000000e+06 4.701617732644081116e-02 2.493355590427487889e-01
9.700001000000000000e+06 3.118446841835975994e-02 2.611799500113928807e-01
9.750001000000000000e+06 8.215710520744323730e-03 5.050060554885619224e-01
9.800001000000000000e+06 1.779570616781711578e-02 3.100144867368852530e-01
9.850001000000000000e+06 3.127582743763924339e-02 2.553215526023963067e-01
9.900001000000000000e+06 3.856258466839790344e-02 2.457157247333535965e-01
9.950001000000000000e+06 4.054883867502212524e-02 2.416308527053780686e-01
1.000000100000000000e+07 4.236724972724914551e-02 2.382377414615756694e-01
1.005000100000000000e+07 4.667500406503676674e-02 2.365426676249435256e-01
1.010000100000000000e+07 4.991727694869041443e-02 2.361230380948909635e-01
1.015000100000000000e+07 5.353361740708351135e-02 2.374781309260035889e-01
1.020000100000000000e+07 4.197401553392409584e-02 2.291194236100639881e-01
1.025000100000000000e+07 3.260131552815437317e-02 2.396833000658708801e-01
1.030000100000000000e+07 2.399163320660591125e-02 2.589372100429812584e-01
1.035000100000000000e+07 1.112015265971422022e-02 4.082822963260172577e-01
1.040000100000000000e+07 7.734262850135564804e-03 4.879016993063080010e-01
1.045000100000000000e+07 2.126234397292136799e-02 2.628297858049032931e-01
1.050000100000000000e+07 1.206336915493011475e-02 3.670109978671332596e-01
1.055000100000000000e+07 1.668497733771800648e-02 2.905943368123583004e-01
1.060000100000000000e+07 1.247907057404517954e-02 3.471187746547725328e-01
1.065000100000000000e+07 3.473205119371414185e-02 2.278602877844687902e-01
1.070000100000000000e+07 6.377971172332763672e-02 2.603528178415434602e-01
1.075000100000000000e+07 7.204986363649368286e-02 2.917778708523250386e-01
1.080000100000000000e+07 8.473730832338333130e-02 3.390439437710029424e-01
1.085000100000000000e+07 6.625392287969589233e-02 2.624128521590142205e-01
1.090000100000000000e+07 8.052648603916168213e-02 3.140030332241928179e-01
1.095000100000000000e+07 7.654837518930435181e-02 2.945705515704238331e-01
1.100000100000000000e+07 5.548181012272832696e-02 2.303326417638475176e-01
1.105000100000000000e+07 6.087739765644073486e-02 2.374742701003872136e-01
1.110000100000000000e+07 4.238343238830566406e-02 2.190849027562531137e-01
1.115000100000000000e+07 2.790856733918190002e-02 2.311567723430360821e-01
1.120000100000000000e+07 2.176946401596069336e-02 2.431747695284887933e-01
1.125000100000000000e+07 8.940972387790679932e-03 4.161093560287684179e-01
1.130000100000000000e+07 1.101308874785899942e-02 3.583128103655507379e-01
1.135000100000000000e+07 3.243419155478477478e-02 2.207191857220042741e-01
1.140000100000000000e+07 5.208765342831612327e-02 2.197574416505310713e-01
1.145000100000000000e+07 7.659955322742462158e-02 2.886107092117703443e-01
1.150000100000000000e+07 6.426579505205153031e-02 2.405590342034001627e-01
1.155000100000000000e+07 6.533126533031463623e-02 2.409105136045794349e-01
1.160000100000000000e+07 4.660397768020629883e-02 2.121436001327458853e-01
1.165000100000000000e+07 4.315854236483573914e-02 2.094851662093887290e-01
1.170000100000000000e+07 7.643986493349075317e-02 2.799992759465208536e-01
1.175000100000000000e+07 8.128888159990310669e-02 2.968280140619635743e-01
1.180000100000000000e+07 8.323258161544799805e-02 3.021044942209060724e-01
1.185000100000000000e+07 8.451718837022781372e-02 3.045996203741960229e-01
1.190000100000000000e+07 9.482054412364959717e-02 3.863776722920305717e-01
1.195000100000000000e+07 1.142665147781371932e-01 6.044199894815743823e-01
1.200000100000000000e+07 1.153143793344497542e-01 6.008515490595635056e-01
1.205000100000000000e+07 1.447251588106155118e-01 9.873047629127720271e-01
1.210000100000000000e+07 1.278891414403915405e-01 7.981674346965238476e-01
1.215000100000000000e+07 1.290694922208786011e-01 7.838278071360355037e-01
