Simulation.timestep  Simulation.tps  Simulation.seed  Simulation.walltime
     12800000          146.21619           1784            68.38504      
     12850000          145.85703           1784            68.55343      
     12900000          144.82692           1784            69.04103      
     12950000          144.67860           1784            69.11181      
     13000000          144.34367           1784            69.27218      
     13050000          143.35705           1784            69.74892      
     13100000          141.61277           1784            70.60804      
     13150000          141.90982           1784            70.46024      
     13200000          142.67913           1784            70.08033      
     13250000          142.04354           1784            70.39391      
     13300000          141.17765           1784            70.82566      
     13350000          139.99711           1784            71.42290      
     13400000          140.34202           1784            71.24737      
     13450000          140.85073           1784            70.99005      
     13500000          140.42948           1784            71.20300      
     13550000          140.57837           1784            71.12759      
     13600000          140.80451           1784            71.01335      
     13650000          140.31164           1784            71.26280      
     13700000          139.84553           1784            71.50032      
     13750000          140.04682           1784            71.39755      
     13800000          139.56807           1784            71.64246      
     13850000          139.58157           1784            71.63553      
     13900000          139.33867           1784            71.76041      
     13950000          139.31553           1784            71.77233      
     14000000          140.57843           1784            71.12756      
     14050000          140.20607           1784            71.31646      
     14100000          140.25847           1784            71.28981      
     14150000          139.06983           1784            71.89913      
     14200000          139.03235           1784            71.91851      
     14250000          139.63458           1784            71.60834      
     14300000          139.17067           1784            71.84704      
     14350000          140.14190           1784            71.34911      
     14400000          139.63815           1784            71.60650      
     14450000          140.49475           1784            71.16992      
     14500000          141.20620           1784            70.81134      
     14550000          141.53429           1784            70.64719      
     14600000          141.71615           1784            70.55653      
     14650000          139.65653           1784            71.59708      
     14700000          140.99614           1784            70.91684      
     14750000          140.78398           1784            71.02371      
     14800000          141.56770           1784            70.63052      
     14850000          141.58160           1784            70.62359      
     14900000          140.70772           1784            71.06220      
     14950000          140.99914           1784            70.91533      
     15000000          140.39825           1784            71.21884      
     15050000          139.73666           1784            71.55603      
     15100000          139.19877           1784            71.83253      
     15150000          139.00372           1784            71.93333      
     15200000          139.72174           1784            71.56367      
     15250000          139.11605           1784            71.87524      
     15300000          139.71739           1784            71.56589      
     15350000          138.92143           1784            71.97593      
Simulation.timestep  Simulation.tps  Simulation.seed  Simulation.walltime
     15400000          135.70851           1784            73.67998      
     15450000          140.19195           1784            71.32364      
     15500000          139.90136           1784            71.47178      
     15550000          141.14479           1784            70.84215      
     15600000          140.47797           1784            71.17842      
     15650000          138.71639           1784            72.08232      
     15700000          132.63885           1784            75.38515      
     15750000          132.60376           1784            75.40510      
     15800000          133.74399           1784            74.76224      
     15850000          132.69652           1784            75.35239      
     15900000          132.41796           1784            75.51090      
     15950000          131.94944           1784            75.77903      
     16000000          133.23418           1784            75.04831      
     16050000          133.12365           1784            75.11062      
     16100000          133.55588           1784            74.86754      
     16150000          133.67562           1784            74.80048      
     16200000          133.00496           1784            75.17764      
     16250000          133.87333           1784            74.69001      
     16300000          132.07687           1784            75.70592      
     16350000          130.90676           1784            76.38261      
     16400000          131.15063           1784            76.24058      
     16450000          130.54872           1784            76.59210      
     16500000          130.29385           1784            76.74192      
     16550000          130.42274           1784            76.66608      
     16600000          130.51320           1784            76.61294      
     16650000          131.93452           1784            75.78760      
     16700000          132.23861           1784            75.61332      
     16750000          129.55724           1784            77.17824      
     16800000          129.14994           1784            77.42164      
     16850000          129.36527           1784            77.29277      
     16900000          129.29575           1784            77.33433      
     16950000          131.90137           1784            75.80664      
     17000000          139.05243           1784            71.90813      
     17050000          139.07003           1784            71.89903      
     17100000          138.55609           1784            72.16572      
     17150000          138.23934           1784            72.33107      
     17200000          138.55721           1784            72.16514      
     17250000          137.64283           1784            72.64454      
     17300000          139.18621           1784            71.83901      
     17350000          139.71587           1784            71.56667      
     17400000          137.01790           1784            72.97586      
     17450000          137.94765           1784            72.48402      
     17500000          136.65052           1784            73.17206      
     17550000          137.45606           1784            72.74325      
     17600000          137.58263           1784            72.67633      
     17650000          138.07652           1784            72.41637      
     17700000          137.17593           1784            72.89180      
     17750000          136.28143           1784            73.37023      
     17800000          137.02779           1784            72.97060      
     17850000          138.48592           1784            72.20229      
     17900000          138.44994           1784            72.22105      
     17950000          134.96070           1784            74.08823      
     18000000          138.40331           1784            72.24538      
     18050000          140.05576           1784            71.39299      
     18100000          138.95412           1784            71.95901      
     18150000          139.07976           1784            71.89400      
     18200000          138.55863           1784            72.16440      
     18250000          136.43662           1784            73.28678      
     18300000          139.88061           1784            71.48239      
     18350000          139.61814           1784            71.61677      
     18400000          139.20976           1784            71.82686      
     18450000          140.46276           1784            71.18613      
     18500000          138.84277           1784            72.01671      
     18550000          138.33851           1784            72.27922      
     18600000          139.15916           1784            71.85298      
     18650000          139.70807           1784            71.57067      
     18700000          140.04064           1784            71.40070      
     18750000          139.58945           1784            71.63149      
     18800000          139.10622           1784            71.88032      
     18850000          139.71559           1784            71.56682      
     18900000          138.98947           1784            71.94070      
     18950000          138.15701           1784            72.37418      
     19000000          139.19269           1784            71.83567      
     19050000          137.65153           1784            72.63995      
     19100000          137.55074           1784            72.69318      
     19150000          140.21040           1784            71.31425      
     19200000          141.50263           1784            70.66300      
     19250000          140.99324           1784            70.91829      
Simulation.timestep  Simulation.tps  Simulation.seed  Simulation.walltime
     19300000          140.44377           1784            71.19575      
     19350000          140.89693           1784            70.96677      
     19400000          140.74743           1784            71.04215      
     19450000          140.21673           1784            71.31103      
     19500000          139.98745           1784            71.42783      
     19550000          139.48754           1784            71.68382      
     19600000          139.16435           1784            71.85030      
     19650000          138.60313           1784            72.14123      
     19700000          139.50612           1784            71.67427      
     19750000          141.06568           1784            70.88188      
     19800000          140.98434           1784            70.92277      
     19850000          141.71802           1784            70.55560      
     19900000          140.94697           1784            70.94157      
     19950000          140.05309           1784            71.39435      
     20000000          140.25319           1784            71.29250      
     20050000          140.45694           1784            71.18908      
     20100000          140.93221           1784            70.94901      
     20150000          140.89958           1784            70.96543      
     20200000          140.23720           1784            71.30062      
     20250000          141.15429           1784            70.83738      
     20300000          141.00021           1784            70.91479      
     20350000          142.31594           1784            70.25917      
     20400000          142.43236           1784            70.20174      
